nombre_categoria_producto,fecha_envio_limite
Electrodomésticos,2018-05-17;17/05/2018;17/05/2018;27/12/2017;27/12/2017
Ropa_de_adultos,2018-04-23;23/04/2018;15/02/2018;15/02/2018;15/02/2018;15/02/2018;15/02/2018;15/02/2018;15/02/2018;15/02/2018;15/02/2018;15/02/2018;3/06/2018;3/06/2018;3/06/2018;3/06/2018;3/06/2018;3/06/2018;3/06/2018;3/06/2018;3/06/2018;3/06/2018;17/08/2018;17/08/2018;17/08/2018;17/08/2018;17/08/2018;17/08/2018;17/08/2018;17/08/2018;17/10/2017;17/10/2017;17/10/2017;17/10/2017;17/10/2017;17/10/2017;31/07/2018;31/07/2018
Ropa_infantil,2017-12-13;3/02/2018;11/09/2017;11/09/2017;11/09/2017
Celulares,2018-04-04;4/04/2018;4/04/2018;4/04/2018
Tecnología,2018-03-28;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;7/09/2018;7/09/2018;7/09/2018;7/04/2018;10/03/2017;10/03/2017;10/03/2017;10/03/2017;10/03/2017;10/03/2017;10/03/2017;28/09/2017;1/11/2018;1/11/2018;13/04/2018;13/04/2018;13/04/2018;13/04/2018;13/04/2018;7/12/2018;7/12/2018;7/12/2018;7/12/2018;7/12/2018;27/10/2017;3/02/2018;3/02/2018;3/02/2018;3/02/2018;24/02/2017;4/06/2018;25/07/2018;25/07/2018;26/12/2017;4/04/2018;8/09/2018;8/09/2018;6/12/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;21/12/2017;21/12/2017
Muebles,2018-05-04;5/09/2018;15/08/2017;23/05/2018;23/05/2018;23/05/2018;23/05/2018;23/05/2018;23/05/2018;23/05/2018;23/05/2018;23/04/2018;23/04/2018;29/06/2018;31/10/2017;31/10/2017;31/10/2017;8/09/2018;8/09/2018;8/09/2018;5/10/2018;5/10/2018;14/06/2018;16/04/2018;10/10/2017;18/09/2017;29/06/2018;1/09/2018;1/09/2018;1/09/2018
Salud,2018-04-25;25/04/2018;25/04/2018;25/04/2018;25/04/2018;25/04/2018;25/04/2018;25/04/2018
Bebés,2018-04-22;22/04/2018;22/04/2018;24/04/2018;24/04/2018;24/04/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;2/02/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;28/12/2017;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;13/07/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;3/02/2018;19/07/2018;19/07/2018;19/07/2018;19/07/2018;19/07/2018;19/07/2018;19/07/2018;19/07/2018;19/07/2018;19/07/2018;17/05/2018;17/05/2018;17/05/2018;17/05/2018;17/05/2018;17/05/2018;17/05/2018;17/05/2018;17/05/2018;17/05/2018;24/08/2017;24/08/2017;24/08/2017;24/08/2017;3/09/2018;3/09/2018;3/09/2018;3/09/2018;19/02/2018;19/02/2018;19/02/2018;19/02/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;15/06/2018;21/12/2017;23/04/2018;23/04/2018;23/04/2018;23/04/2018;23/04/2018;23/04/2018;23/04/2018;23/04/2018;23/04/2018;23/04/2018;10/05/2017;12/12/2017;25/06/2018;17/04/2018;7/02/2018;20/10/2017;5/03/2018;5/03/2018;23/04/2018;4/10/2017;29/01/2018;29/01/2018;29/01/2018;7/05/2018;7/05/2018;7/05/2018;7/05/2018;7/05/2018;7/05/2018;7/05/2018;24/05/2018;24/05/2018;24/05/2018;24/05/2018;24/05/2018;24/05/2018;24/05/2018;7/07/2017;7/07/2017;7/07/2017;7/07/2017;7/07/2017;7/07/2017;7/07/2017;2/12/2018;2/12/2018;2/12/2018;10/10/2016;22/05/2018;9/05/2018;9/05/2018;9/05/2018;9/05/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/07/2017;18/07/2017;18/07/2017;18/07/2017;18/07/2017;21/06/2018;26/01/2017;28/06/2017;28/06/2017;28/06/2017;26/01/2017;26/01/2017;26/01/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;8/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;29/08/2017;8/03/2018;17/08/2018;17/08/2018;17/08/2018;8/08/2018;7/11/2018;20/02/2018;12/11/2017;4/09/2018;21/08/2018;21/08/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;23/08/2018;23/08/2018;7/05/2018;7/05/2018;7/05/2018;5/09/2018;5/09/2018;5/09/2018;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;14/09/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;12/05/2017;16/11/2017;16/11/2017;16/11/2017;16/11/2017;16/11/2017;27/12/2017;27/12/2017;27/12/2017;27/12/2017;27/12/2017;27/12/2017;27/12/2017;27/12/2017;27/09/2017;13/07/2017;13/07/2017;13/07/2017;13/07/2017;13/07/2017
Juguetes,2018-08-13;5/11/2018;28/04/2017;10/08/2017;10/08/2017;10/08/2017;10/08/2017;10/05/2017;10/05/2017;10/05/2017;10/05/2017;2/08/2018;2/08/2018;2/08/2018;2/08/2018;2/08/2018;8/06/2018;13/08/2018;13/08/2018;13/08/2018;13/08/2018;8/03/2017;8/03/2017;8/03/2017;8/03/2017;8/03/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;21/02/2018;21/02/2018;21/02/2018;21/02/2018;21/02/2018;21/02/2018;21/02/2018;21/02/2018;21/02/2018;5/04/2018;5/04/2018;13/06/2017;13/06/2017;27/07/2017;27/07/2017;27/07/2017;27/07/2017;27/07/2017;27/07/2017;27/07/2017;27/07/2017
Mascotas,2018-07-03;3/07/2018;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;13/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;12/04/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;15/06/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;30/11/2017;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;13/06/2018;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;21/06/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;25/07/2017;10/05/2017;10/05/2017;10/05/2017;10/05/2017;10/05/2017;11/09/2017;11/09/2017;6/01/2017;6/01/2017;6/01/2017;6/01/2017;6/01/2017;6/01/2017;6/01/2017;6/01/2017;6/01/2017;23/03/2017;23/03/2017;23/03/2017;23/03/2017;23/03/2017;23/03/2017;23/03/2017;23/03/2017;23/03/2017;9/11/2017;2/08/2018;28/02/2018;16/04/2018;8/10/2018;8/10/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;28/03/2018;6/06/2018;6/06/2018;6/06/2018;6/06/2018;6/06/2018;6/06/2018;6/06/2018;6/06/2018;19/10/2017;19/10/2017;19/10/2017;19/10/2017;19/10/2017;19/10/2017;19/10/2017;19/10/2017;12/08/2017;12/08/2017;12/08/2017;12/08/2017;12/08/2017;12/08/2017;12/08/2017;12/08/2017;12/08/2017;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;18/06/2018;26/01/2018;26/01/2018;26/01/2018;26/01/2018;26/01/2018;26/01/2018;26/01/2018;26/01/2018;26/01/2018;1/09/2018;1/09/2018;1/09/2018;28/07/2017;28/07/2017;28/03/2018;28/03/2018;28/03/2018;3/07/2018;3/07/2018;3/07/2018;3/07/2018;22/03/2018;22/03/2018;22/03/2018;22/03/2018;31/01/2018;31/01/2018;31/01/2018;31/01/2018;26/04/2018;22/03/2018;18/01/2018;18/01/2018;18/01/2018;18/01/2018;10/03/2017;10/03/2017;10/03/2017;10/03/2017;30/01/2018;23/07/2018;23/07/2018;23/07/2018;23/07/2018;23/07/2018;23/07/2018;16/03/2017;16/03/2017;28/03/2017;5/02/2018;26/09/2017;21/07/2017;21/07/2017;21/07/2017;1/11/2018;1/11/2018;20/07/2017;20/07/2017;20/07/2017;20/07/2017;20/07/2017;20/07/2017;20/07/2017;9/06/2017;9/06/2017;9/06/2017;9/06/2017;9/06/2017;9/06/2017;17/08/2018;23/01/2018;26/01/2018;26/01/2018;26/01/2018;20/04/2018;20/04/2018;20/04/2018;20/04/2018;20/04/2018;20/04/2018;5/04/2018;2/05/2018;2/05/2018;2/05/2018;22/06/2018;21/03/2017;18/01/2018;18/01/2018;26/06/2018;26/06/2018;26/06/2018;26/06/2018;26/06/2018;26/06/2018;15/05/2018;15/05/2018;15/05/2018;5/11/2018;1/03/2018;4/12/2018;11/09/2017;11/09/2017;11/09/2017;11/03/2017;11/03/2017;11/03/2017;22/09/2017;16/04/2018;16/04/2018
Deportes,2018-07-08;8/07/2018;8/07/2018;8/07/2018;8/07/2018;8/07/2018;19/05/2017;19/05/2017;19/05/2017;19/05/2017;19/05/2017;19/05/2017
Libros,2018-02-23;23/02/2018;4/02/2018;4/02/2018;26/03/2018;26/03/2018;4/05/2018
Ferretería,2017-02-21;2/08/2018;2/08/2018
Dormitorio,2018-10-05;8/02/2017;29/05/2017;29/05/2017
Productos_ecoamigables,2018-03-29;18/05/2018
Licor,2018-01-03
Lácteos,2017-06-09;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;17/08/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;26/12/2017;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;1/11/2018;10/04/2017;10/04/2017;21/03/2018;21/03/2018;27/03/2018;27/03/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;22/01/2018;18/07/2017;18/07/2017;18/07/2017;13/06/2018;13/06/2018;13/06/2018;8/07/2018;8/07/2018;8/07/2018;31/01/2018;31/01/2018;31/01/2018;10/05/2017;7/11/2018;15/05/2017;18/05/2017;18/05/2017;23/03/2018;23/03/2018;23/03/2018;23/03/2018;26/07/2017
Frutas_y_verduras,2017-06-13;27/03/2018;5/11/2017
Carnicería,2018-08-22;3/01/2018;3/01/2018;3/01/2018;7/03/2018;7/03/2018;21/08/2018;16/05/2018;24/03/2017;18/01/2018;18/01/2018;18/01/2018;18/01/2018;18/01/2018;16/05/2018;16/05/2018;16/05/2018;16/05/2018;29/11/2017;29/11/2017;13/06/2018;13/06/2018;25/01/2018;4/12/2018;13/02/2018;13/02/2018;13/02/2018;13/02/2018;13/02/2018;19/04/2018;19/04/2018;19/04/2018;19/04/2018;19/04/2018;13/11/2017;13/11/2017;13/11/2017;17/04/2018;17/04/2018
Tarjetas_regalo,2018-08-02;2/08/2018;7/05/2017